experiment_name,status,architecture,epochs_configured,training_time_hours,test_precision,test_recall,test_mAP50,test_mAP50_95,test_AP50_smoke,test_AP50_fire,official_class_mapping,legacy_class_names_corrected,timestamp,summary_path,summary_sha256,best_weights_path,best_weights_sha256
accuracy_yolo26n_clahe_finetune_640,completed,yolo26n,20,4.275254664950901,0.736187795344443,0.6655016124555938,0.7257626227554448,0.4087527376298173,0.7964404354835362,0.6550848100273534,0=smoke;1=fire,False,2026-08-17T01:42:37.486669,outputs/accuracy_study/accuracy_yolo26n_clahe_finetune_640/training_summary.json,3df22af56cedd790278252ef528455e89d093028b8e7e4f4f43e49f0a3197899,outputs/accuracy_study/accuracy_yolo26n_clahe_finetune_640/weights/best.pt,62c0b8f55dd99d9847eae7fd4e38c1b89aea6327db6971943c09cae1fb886ea5
accuracy_yolo26s_clahe_640,completed,yolo26s,100,42.64730770832963,0.7691207640867508,0.7010624667202956,0.7710375286312108,0.44798544129250334,0.8484605251236567,0.693614532138765,0=smoke;1=fire,False,2026-08-18T23:26:01.238597,outputs/accuracy_study/accuracy_yolo26s_clahe_640/training_summary.json,baa90e7645390e3eec4e4ce70d8140ae089f78bd0feac738e44359297cd81d73,outputs/accuracy_study/accuracy_yolo26s_clahe_640/weights/best.pt,97f70b80598882a92a132fc23d1aab2c0e77c3af5e626c2f5673f62351b6a60d
benchmark_yolov8n,legacy_summary_without_metrics,yolov8n,100,12.75631154053741,,,,,,,0=smoke;1=fire,True,2026-08-06T12:12:00.633691,outputs/benchmark_yolov8n/training_summary.json,4f189acac039d32a3ff00657dc3027af45d4b04fe38a5d4b8bae9ae4b72e32bb,,
efficient_hpg_yolo26n,completed,hazard_yolo26n,40,1.962475283741951,0.7151977325586552,0.6357585084567192,0.7052634640238764,0.3989058907889683,0.7811636213240952,0.6293633067236575,0=smoke;1=fire,True,2026-08-16T19:26:36.994434,outputs/efficient_study/efficient_hpg_yolo26n/training_summary.json,767d0054106f51b8a429702a04af4986b5f44cf42e267197f2ede625adb9e31b,outputs/efficient_study/efficient_hpg_yolo26n/weights/best.pt,fcb2fc75e25218998c1d5a9ff3f19dac9f21420c55d6e3d6ff16e5ce308fbb4b
efficient_yolo26n_baseline,completed,yolo26n,40,4.450314360790783,0.7122219994608161,0.6471477433070569,0.7146680326972684,0.40050037244949976,0.783345220978374,0.6459908444161628,0=smoke;1=fire,True,2026-08-16T06:13:26.984378,outputs/efficient_study/efficient_yolo26n_baseline/training_summary.json,21ab33392fbc135c7383378d3a90ff1fcabaea5f686ec9a618f5963f6857e875,outputs/efficient_study/efficient_yolo26n_baseline/weights/best.pt,27085501b8b3f9bdbc7f0eee53a4504489e8e999c6635b40cd91cc66a4f79515
efficient_yolov10n_baseline,completed,yolov10n,40,5.074001077612241,0.681029272728197,0.6187444977943846,0.6775293475699302,0.37511806447698054,0.7527992278712827,0.6022594672685777,0=smoke;1=fire,True,2026-08-16T01:45:41.634198,outputs/efficient_study/efficient_yolov10n_baseline/training_summary.json,8aeb78b2d5e06a11e33ae1ca980073fc3c8b5294fd6821520e7ea58f4d0be67a,outputs/efficient_study/efficient_yolov10n_baseline/weights/best.pt,48ae98a2abe683ffe7166a6fc782d0a6a603abb82fb62c1cb82d6c408258ab35
