epoch,lr,time_s,train_loss,train_disaster_loss,train_victim_loss,train_kd_logit_loss,train_kd_feat_loss,train_disaster_acc,train_victim_acc,val_loss,val_disaster_f1,val_victim_f1,val_disaster_acc,val_victim_acc,val_combined_f1,val_map50
1,0.00028,3635.450164079666,0.10099138358743473,0.047243312815402894,0.01853196459224999,0.0,0.0,0.8781173786484148,0.8964282904570844,0.07533830071623386,0.8509626273878499,0.9280981105902535,0.923835368611488,0.9473541383989145,0.8895303689890517,0.0
2,0.00045999999999999996,3670.0556678771973,0.07950420220911496,0.03771500759203134,0.01462945763888448,0.0,0.0,0.9127527338525686,0.920128235386673,0.06610163043793131,0.9056566254526905,0.9278904953084792,0.9443690637720489,0.9478968792401629,0.9167735603805849,0.0
3,0.0006399999999999999,3493.8128683567047,0.0751393860871822,0.035690178268797494,0.014128661338916063,0.0,0.0,0.9187908111084887,0.9253009204625915,0.08525005823863929,0.8676974492337526,0.9169215779427304,0.9259158751696065,0.9417458163726821,0.8923095135882415,0.0
4,0.00082,3289.818253993988,0.07519877566146911,0.03567517485267027,0.014145810767567903,0.0,0.0,0.9171386987648493,0.9225473998898592,0.09480411707609386,0.8633408863644632,0.9361991536138856,0.916146540027137,0.9550429669832655,0.8997700199891744,0.0
5,0.001,3279.2217230796814,0.07581284697558723,0.03598068183115594,0.014144486067107874,0.0,0.0,0.9166863346707577,0.9244551962866808,0.12394270593446205,0.798692435424194,0.8978725114765767,0.9167797376752601,0.9325192220714609,0.8482824734503853,0.0
6,0.000998794204878613,3284.8544936180115,0.07747922888581094,0.036853824568825085,0.013991117050792068,0.0,0.0,0.9142278341593895,0.9238848241680434,0.4194263821623188,0.6925518503121697,0.8367814121920423,0.7083672546359113,0.8955223880597015,0.764666631252106,0.0
7,0.0009951826940270774,3286.985519170761,0.07265971929828846,0.03454686546112592,0.013575869601549658,0.0,0.0,0.9196168672803084,0.9263433246794115,0.31999062977496184,0.6961607125542408,0.8914397212282925,0.732790592492085,0.9281772953414744,0.7938002168912667,0.0
8,0.000989183062363234,3288.235809803009,0.06613635951278168,0.0314471902586752,0.01293834071601104,0.0,0.0,0.9281921170639603,0.9317716938085123,0.25849397792546175,0.7672460157093082,0.8897768918017754,0.761917684305744,0.926729986431479,0.8285114537555418,0.0
9,0.000980824539489468,4196.897386789322,0.06328413508463068,0.030092424542330857,0.01264259619022841,0.0,0.0,0.9282314530721423,0.9338565022421524,0.0953061654063111,0.8441404465785888,0.9024708275054243,0.9344188150158299,0.9354138398914519,0.8733056370420065,0.0
10,0.0009701478472890248,4582.584795713425,0.061004052730040885,0.028986241554781283,0.012511752691842726,0.0,0.0,0.9325387459680592,0.9331287860907875,0.1288151705143691,0.822252665979008,0.915952666640184,0.9092718227046586,0.942107643600181,0.869102666309596,0.0
11,0.0009572050015330875,4030.525025367737,0.05934668348615963,0.028281699335304784,0.01202383701795122,0.0,0.0,0.9348202344426088,0.9379277790889781,0.09296712543021791,0.8674152639765573,0.9270126608785427,0.9258254183627318,0.9507010402532791,0.89721396242755,0.0
12,0.000942059058465169,3856.009077310562,0.05817833340563733,0.027693628634099722,0.012026701044425587,0.0,0.0,0.9361969947289749,0.9380261191094328,0.10617219176880968,0.8360621022104731,0.9235919354722586,0.9299864314789688,0.9478968792401629,0.8798270188413658,0.0
13,0.0009247838075974309,3833.135719060898,0.055635175800191866,0.02650563836427666,0.011697722816256025,0.0,0.0,0.93900951931398,0.9377901030603414,0.14329134070001498,0.82797049399492,0.926035238799046,0.8921754862053369,0.9480777928539122,0.877002866396983,0.0
14,0.000905463412215599,3834.107724905014,0.0542547925024883,0.025816106319427087,0.011686692724243603,0.0,0.0,0.9414680198253481,0.9391275273385257,0.09960399736470847,0.8668833172865854,0.9297149987975443,0.9230212573496156,0.9520578923563998,0.8982991580420648,0.0
15,0.0008841919993438941,3811.5151839256287,0.052100321365898865,0.024831837835085257,0.01132124932348596,0.0,0.0,0.9437691763039887,0.9407599716780741,0.22832947685629676,0.7682733409277755,0.8801713320330199,0.8544549977385798,0.9241067390321122,0.8242223364803978,0.0
16,0.0008610732011676323,3823.7052330970764,0.052178448433587016,0.024880150631769307,0.011280187579888747,0.0,0.0,0.9428251121076233,0.9403272755880733,0.09930897699780628,0.8543252460259909,0.9251271836898369,0.9198552691090005,0.9501582994120308,0.8897262148579139,0.0
17,0.0008362196501476349,3826.550648212433,0.048962474499171744,0.02340565961340322,0.010756693376514118,0.0,0.0,0.9462080088112659,0.9432184721894422,0.06905012262676775,0.886905405855599,0.9323237393796282,0.9511533242876526,0.9515151515151515,0.9096145726176136,0.0
18,0.0008097524302862008,3854.756306409836,0.0495318276599307,0.023666070176432238,0.010843399044346913,0.0,0.0,0.9461293367949021,0.9445952324758083,0.0704688058898387,0.8894266917479983,0.925077064340526,0.9480777928539122,0.9495251017639077,0.9072518780442621,0.0
