epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,64317.6,1.58684,1.3467,0.01342,0.73192,0.66396,0.7369,0.42814,0.97186,0.76664,0.01184,0.00643101,0.00643101,0.00643101
43,65934.6,1.59694,1.34171,0.01334,0.7387,0.65928,0.74103,0.43245,0.97493,0.75982,0.01188,0.00628101,0.00628101,0.00628101
44,67527.9,1.58377,1.34466,0.01345,0.74557,0.66686,0.74406,0.43355,0.96655,0.76446,0.0118,0.00612981,0.00612981,0.00612981
45,69060.5,1.579,1.32247,0.01302,0.73538,0.6727,0.74102,0.43508,0.96417,0.76541,0.01165,0.00597754,0.00597754,0.00597754
46,70580.4,1.56885,1.31941,0.01318,0.75517,0.6518,0.74286,0.43661,0.96082,0.76102,0.01157,0.00582435,0.00582435,0.00582435
47,72103.7,1.56173,1.29928,0.01311,0.73931,0.67014,0.74607,0.43894,0.95957,0.76085,0.01157,0.0056704,0.0056704,0.0056704
48,73625.7,1.558,1.29177,0.0128,0.74522,0.65965,0.74678,0.44005,0.95923,0.75895,0.01147,0.00551584,0.00551584,0.00551584
49,75148.3,1.55294,1.29017,0.01284,0.76583,0.65822,0.74957,0.4421,0.95986,0.74654,0.01148,0.00536081,0.00536081,0.00536081
50,76671.6,1.54477,1.27404,0.01279,0.74808,0.66612,0.75004,0.44467,0.96086,0.73799,0.0115,0.00520548,0.00520548,0.00520548
51,78196.5,1.52598,1.24169,0.01258,0.7511,0.67372,0.75248,0.44756,0.96471,0.72617,0.01157,0.00505,0.00505,0.00505
52,79722.1,1.53084,1.26549,0.01265,0.75659,0.67236,0.7527,0.44865,0.96101,0.72442,0.01153,0.00489452,0.00489452,0.00489452
53,81246.2,1.54391,1.24271,0.01255,0.7565,0.67544,0.75414,0.44901,0.95731,0.72829,0.01143,0.00473919,0.00473919,0.00473919
54,82770.5,1.52028,1.23135,0.01265,0.75244,0.67766,0.75541,0.44819,0.95919,0.72852,0.0115,0.00458416,0.00458416,0.00458416
55,84293.8,1.51422,1.21496,0.01233,0.75326,0.68082,0.75693,0.4493,0.95421,0.729,0.01138,0.0044296,0.0044296,0.0044296
56,85818.1,1.50488,1.18948,0.01234,0.74117,0.68781,0.75787,0.45089,0.95283,0.72465,0.01134,0.00427565,0.00427565,0.00427565
57,87341.1,1.50913,1.20233,0.01247,0.74846,0.68019,0.75727,0.451,0.9498,0.72418,0.01127,0.00412246,0.00412246,0.00412246
58,88865.9,1.49606,1.18842,0.01224,0.74826,0.68557,0.75859,0.452,0.95075,0.71851,0.01133,0.00397019,0.00397019,0.00397019
59,90389.1,1.50042,1.18159,0.01216,0.75252,0.68512,0.76159,0.45386,0.9503,0.71657,0.01133,0.00381899,0.00381899,0.00381899
60,91958,1.48401,1.15215,0.01213,0.73763,0.69462,0.76044,0.45348,0.95151,0.71779,0.01133,0.00366899,0.00366899,0.00366899
61,93600.7,1.49038,1.14288,0.01196,0.75765,0.68756,0.76006,0.4525,0.95251,0.71677,0.01135,0.00352037,0.00352037,0.00352037
62,95196.6,1.47519,1.15064,0.01179,0.7552,0.68677,0.76033,0.45235,0.95269,0.71757,0.01136,0.00337325,0.00337325,0.00337325
63,96732.8,1.47512,1.11576,0.01194,0.75049,0.68982,0.76128,0.45393,0.95143,0.71868,0.01133,0.00322778,0.00322778,0.00322778
64,98266.9,1.46308,1.10482,0.01179,0.75874,0.68619,0.76301,0.4545,0.95072,0.71753,0.01129,0.00308412,0.00308412,0.00308412
