                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6518,                 5.2698,                 3.2362,                0.39151,                0.27996,                0.22607,                 0.0991,                  2.784,                 7.0999,                 2.4663,               0.080222,             0.00019977,             0.00019977
                      2,                 3.6273,                 4.5898,                 3.2063,                0.32381,                0.27814,                 0.2149,                0.08544,                 2.8228,                 8.9656,                 2.4436,               0.060418,             0.00039582,             0.00039582
                      3,                 3.6319,                 4.4877,                 3.2065,                0.33712,                0.35036,                0.26276,                 0.1159,                 2.7775,                 37.773,                  2.522,               0.040611,              0.0005879,              0.0005879
                      4,                 3.6055,                 4.3429,                 3.1705,                0.46071,                0.39548,                0.37463,                0.16993,                 2.5942,                 12.803,                  2.278,               0.020799,             0.00077602,             0.00077602
                      5,                  3.543,                 4.2173,                 3.1283,                 0.4805,                 0.3808,                0.38071,                0.18207,                 2.5321,                 6.3942,                 2.2263,             0.00098283,             0.00096018,             0.00096018
                      6,                 3.5075,                 4.1112,                 3.1032,                0.50748,                0.43556,                  0.445,                0.21478,                 2.5198,                 9.9376,                 2.2069,              0.0009505,              0.0009505,              0.0009505
                      7,                 3.4894,                 3.9743,                 3.0609,                0.54105,                0.46689,                 0.4794,                0.23122,                 2.4824,                 5.2616,                  2.181,              0.0009406,              0.0009406,              0.0009406
                      8,                 3.4483,                 3.8811,                 3.0408,                0.56344,                0.48397,                0.50666,                0.25778,                 2.4155,                 5.6552,                 2.1306,              0.0009307,              0.0009307,              0.0009307
                      9,                 3.3686,                 3.7763,                 2.9874,                0.56131,                0.49762,                0.51335,                0.25822,                 2.3813,                 7.5975,                 2.1331,              0.0009208,              0.0009208,              0.0009208
                     10,                 3.3603,                 3.6999,                 2.9847,                 0.5712,                0.52474,                0.53829,                0.27482,                 2.3851,                 6.1175,                 2.0994,              0.0009109,              0.0009109,              0.0009109
                     11,                 3.3575,                 3.6426,                 2.9746,                0.57316,                0.52575,                0.55002,                0.28653,                 2.3597,                 8.2018,                 2.1091,               0.000901,               0.000901,               0.000901
                     12,                  3.331,                 3.6077,                   2.97,                0.60287,                0.51323,                0.55344,                0.28504,                 2.3639,                 7.8964,                 2.0804,              0.0008911,              0.0008911,              0.0008911
                     13,                 3.3019,                 3.5127,                  2.952,                0.59477,                0.55751,                0.57182,                0.29824,                 2.3325,                 5.8469,                 2.0752,              0.0008812,              0.0008812,              0.0008812
                     14,                 3.2905,                 3.4857,                 2.9383,                0.63749,                0.54236,                0.59245,                0.30666,                 2.3624,                  5.621,                 2.0933,              0.0008713,              0.0008713,              0.0008713
                     15,                 3.2555,                 3.4023,                 2.9119,                0.64257,                0.55772,                0.60412,                0.32271,                 2.3051,                 5.2642,                 2.0435,              0.0008614,              0.0008614,              0.0008614
