                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 3.2443,                 3.3812,                 2.8946,                0.62691,                0.57134,                0.60954,                0.32851,                 2.3053,                 3.9243,                 2.0337,              0.0008515,              0.0008515,              0.0008515
                     17,                 3.2455,                 3.2995,                 2.8944,                   0.64,                0.57467,                0.61362,                0.32902,                 2.2903,                 4.9519,                  2.037,              0.0008416,              0.0008416,              0.0008416
                     18,                 3.2229,                 3.3347,                 2.8851,                0.63423,                0.55668,                0.61144,                0.33256,                 2.2615,                 5.0833,                 2.0189,              0.0008317,              0.0008317,              0.0008317
                     19,                 3.1903,                 3.2884,                 2.8716,                0.66984,                0.56997,                0.63059,                0.33993,                  2.264,                 3.9805,                 2.0205,              0.0008218,              0.0008218,              0.0008218
                     20,                 3.1934,                 3.2858,                 2.8675,                0.66224,                0.58602,                0.64334,                0.35589,                 2.2362,                 3.7932,                 2.0004,              0.0008119,              0.0008119,              0.0008119
                     21,                 3.1808,                 3.2433,                 2.8554,                0.64954,                0.58766,                0.63571,                0.34676,                 2.2441,                 5.0093,                 1.9892,               0.000802,               0.000802,               0.000802
                     22,                 3.1836,                 3.1844,                 2.8454,                0.67009,                0.58623,                0.64065,                0.35349,                 2.2306,                 4.1346,                 2.0002,              0.0007921,              0.0007921,              0.0007921
                     23,                  3.172,                 3.1487,                 2.8337,                0.66441,                 0.5898,                0.64781,                0.35763,                 2.2412,                 4.0986,                 1.9912,              0.0007822,              0.0007822,              0.0007822
                     24,                 3.1677,                 3.1457,                 2.8425,                0.67476,                0.59493,                0.65919,                0.36823,                 2.2214,                  4.312,                 1.9793,              0.0007723,              0.0007723,              0.0007723
                     25,                 3.1414,                 3.1043,                  2.826,                0.68708,                0.60244,                0.66631,                0.37221,                 2.2255,                 4.4416,                 1.9933,              0.0007624,              0.0007624,              0.0007624
                     26,                   3.13,                 3.0796,                 2.8137,                0.66887,                0.60709,                0.66407,                 0.3742,                 2.2207,                 4.1175,                 1.9761,              0.0007525,              0.0007525,              0.0007525
                     27,                 3.1414,                 3.0779,                 2.8223,                0.68876,                0.61543,                0.67376,                0.37511,                 2.2104,                   3.32,                 1.9748,              0.0007426,              0.0007426,              0.0007426
                     28,                 3.1239,                 3.0736,                 2.8132,                0.68986,                0.61025,                0.67553,                0.37557,                 2.2111,                 3.8634,                 1.9688,              0.0007327,              0.0007327,              0.0007327
                     29,                 3.1031,                  3.055,                 2.7915,                0.68686,                0.62176,                0.68125,                0.38688,                 2.1679,                 3.8704,                 1.9522,              0.0007228,              0.0007228,              0.0007228
                     30,                 3.1021,                 2.9834,                 2.7952,                0.69601,                0.62429,                0.68738,                0.39074,                 2.1835,                 3.2905,                 1.9531,              0.0007129,              0.0007129,              0.0007129
